Ref,Val,Package,PosX,PosY,Rot,Side
"D83","1N5819W (clamp 3V3)","D_SOD-123",124.000000,-99.000000,90.000000,top
"D84","1N5819W","D_SOD-123",70.000000,-53.000000,0.000000,top
"D85","1N5819W","D_SOD-123",46.700310,-8.071784,0.000000,top
"D90","SS14 (+5V->VSYS)","D_SMA",57.849407,-79.403414,0.000000,top
"D100","BZT52C10","D_SOD-123",52.745686,-3.843295,0.000000,top
"D101","SS34","D_SMA",90.000000,-24.000000,90.000000,top
"D102","1N4148W","D_SOD-123",42.534253,-36.682248,0.000000,top
"D103","BZT52C6V2","D_SOD-123",86.242713,-3.182249,0.000000,top
"D104","1N4148W","D_SOD-123",41.544237,-19.901319,0.000000,top
"D105","1N4148W (drop: LM567C abs max 9V vs 78L09 +5% tol)","D_SOD-123",87.000000,-31.000000,90.000000,top
"D106","SMAJ18A (VA transient clamp)","D_SMA",50.000000,-20.000000,0.000000,top
"FB100","600R/3A","L_1206_3216Metric",61.866025,-16.500000,90.000000,top
"J1","IN 6.35mm PJ-603A","PJ-603A",113.500000,-1.600000,-90.000000,top
"J2","OUT 6.35mm PJ-603A","PJ-603A",28.000000,-1.600000,-90.000000,top
"J3","CV1 IN 3.5mm PJ-3410","PJ-3410",1.600000,-40.000000,0.000000,top
"J4","CV2 IN 3.5mm PJ-3410","PJ-3410",1.600000,-75.000000,0.000000,top
"J5","DC_2.1mm","DC-044A",69.000000,-2.600000,180.000000,top
"J6","CV OUT 3.5mm PJ-3410","PJ-3410",136.400000,-57.000000,180.000000,top
"J10","CTRL 2x8","PinHeader_2x08_P2.54mm_Vertical",96.000000,-104.000000,90.000000,top
"L100","22uH/3A SMDRI127","L_12x12mm_H8mm",99.000000,-30.000000,0.000000,top
"Q1","MMBTA13","SOT-23",120.000000,-86.000000,0.000000,top
"Q2","MMBT3904","SOT-23",103.554349,-90.513513,0.000000,top
"Q3","MMBT3904","SOT-23",104.442948,-81.430905,0.000000,top
"Q4","MMBT3904","SOT-23",73.181252,-94.720357,0.000000,top
"Q5","MMBT3904","SOT-23",70.041815,-77.420634,0.000000,top
"Q6","MMBT3904","SOT-23",75.856276,-77.208576,0.000000,top
"Q10","AO3401A","SOT-23",55.000000,-12.000000,90.000000,top
"Q11","BCP56","SOT-223-3_TabPin2",64.000000,-34.000000,0.000000,top
"QJ1","MMBFJ201","SOT-23",26.008118,-73.053030,0.000000,top
"R1","1k","R_0603_1608Metric",122.399999,-21.800000,0.000000,top
"R2","2.2M","R_0603_1608Metric",124.099999,-31.900000,0.000000,top
"R3","2.2M","R_0603_1608Metric",127.267220,-37.767802,0.000000,top
"R4","470k","R_0603_1608Metric",112.346600,-34.487662,0.000000,top
"R5","2.2k","R_0603_1608Metric",105.678775,-37.647344,0.000000,top
"R12","100k","R_0603_1608Metric",56.003666,-54.367147,0.000000,top
"R13","470R","R_0603_1608Metric",16.584975,-40.374284,0.000000,top
"R16","100k","R_0603_1608Metric",92.041080,-2.841367,0.000000,top
"R20","43k","R_0603_1608Metric",115.911679,-50.261491,0.000000,top
"R21","36k","R_0603_1608Metric",127.029828,-49.158568,0.000000,top
"R22","100k","R_0603_1608Metric",110.757373,-52.767598,0.000000,top
"R23","15k","R_0603_1608Metric",111.877262,-38.486911,0.000000,top
"R24","47k","R_0603_1608Metric",119.434314,-54.767647,0.000000,top
"R25","10k","R_0603_1608Metric",124.382556,-54.002722,0.000000,top
"R30","220k","R_0603_1608Metric",111.226177,-57.725460,0.000000,top
"R31","680","R_0603_1608Metric",107.481717,-63.731359,0.000000,top
"R32","680","R_0603_1608Metric",104.433685,-60.102661,0.000000,top
"R33","10k","R_0603_1608Metric",77.340685,-61.456637,0.000000,top
"R34","330k","R_0603_1608Metric",105.529214,-56.204198,0.000000,top
"R35","10k","R_0603_1608Metric",116.327639,-91.023543,0.000000,top
"R36","4.7k","R_0603_1608Metric",105.240249,-52.233657,0.000000,top
"R37","1M","R_0603_1608Metric",95.062613,-39.405863,0.000000,top
"R38","100k","R_0603_1608Metric",89.730519,-64.602150,0.000000,top
"R40","0R","R_0603_1608Metric",97.656040,-4.888138,0.000000,top
"R41","100k","R_0603_1608Metric",107.986942,-33.258651,0.000000,top
"R42","47k","R_0603_1608Metric",89.155187,-61.066121,0.000000,top
"R43","47k","R_0603_1608Metric",87.235029,-51.194873,0.000000,top
"R44","47k","R_0603_1608Metric",84.563554,-55.373935,0.000000,top
"R45","220k","R_0603_1608Metric",84.207355,-60.996828,0.000000,top
"R46","680","R_0603_1608Metric",83.998653,-64.791456,0.000000,top
"R47","680","R_0603_1608Metric",79.008436,-65.764379,0.000000,top
"R48","10k","R_0603_1608Metric",99.876604,-44.339215,0.000000,top
"R49","10k","R_0603_1608Metric",67.577174,-94.256756,0.000000,top
"R50","47k","R_0603_1608Metric",102.901137,-94.743732,0.000000,top
"R51","10k","R_0603_1608Metric",77.267891,-91.420535,0.000000,top
"R52","47k","R_0603_1608Metric",109.301319,-86.832567,0.000000,top
"R53","1k (pin3 clamp-current limit)","R_0603_1608Metric",107.698924,-43.290259,0.000000,top
"R60","1M","R_0603_1608Metric",102.849971,-3.947196,0.000000,top
"R61","470k","R_0603_1608Metric",100.411663,-39.663598,0.000000,top
"R62","680","R_0603_1608Metric",82.444812,-70.023466,0.000000,top
"R63","680","R_0603_1608Metric",71.560722,-71.846282,0.000000,top
"R64","10k","R_0603_1608Metric",77.536251,-70.480116,0.000000,top
"R65","220k","R_0603_1608Metric",105.093952,-47.505156,0.000000,top
"R66","680","R_0603_1608Metric",89.522792,-74.046187,0.000000,top
"R67","680","R_0603_1608Metric",81.295801,-74.170785,0.000000,top
"R68","10k","R_0603_1608Metric",95.521279,-73.970675,0.000000,top
"R69","220k","R_0603_1608Metric",87.155828,-68.940765,0.000000,top
"R70","100k","R_0603_1608Metric",75.183044,-104.383359,0.000000,top
"R71","100k","R_0603_1608Metric",64.735038,-78.442121,0.000000,top
"R72","100k","R_0603_1608Metric",75.474449,-107.941861,0.000000,top
"R73","100k","R_0603_1608Metric",109.601343,-90.666842,0.000000,top
"R74","220k","R_0603_1608Metric",108.105892,-94.800585,0.000000,top
"R75","680","R_0603_1608Metric",97.307601,-108.371089,0.000000,top
"R76","10k","R_0603_1608Metric",109.842133,-30.156444,0.000000,top
"R77","220k","R_0603_1608Metric",15.268183,-64.357771,0.000000,top
"R78","680","R_0603_1608Metric",14.993562,-69.658180,0.000000,top
