Designator,Mid X,Mid Y,Layer,Rotation,Comment,Footprint
D82,132.442948,-82.569094,Top,0.000000,1N4148W,D_SOD-123
D83,124.000000,-99.000000,Top,90.000000,1N5819W (clamp 3V3),D_SOD-123
D84,70.000000,-53.000000,Top,0.000000,1N5819W,D_SOD-123
D85,46.700310,-8.071784,Top,0.000000,1N5819W,D_SOD-123
D90,57.849407,-79.403414,Top,0.000000,SS14 (+5V->VSYS),D_SMA
D100,52.745686,-3.843295,Top,0.000000,BZT52C10,D_SOD-123
D101,90.000000,-24.000000,Top,90.000000,SS34,D_SMA
D102,42.534253,-36.682248,Top,0.000000,1N4148W,D_SOD-123
D103,86.242713,-3.182249,Top,0.000000,BZT52C6V2,D_SOD-123
D104,41.544237,-19.901319,Top,0.000000,1N4148W,D_SOD-123
D105,87.000000,-31.000000,Top,90.000000,1N4148W (drop: LM567C abs max 9V vs 78L09 +5% tol),D_SOD-123
D106,50.000000,-20.000000,Top,0.000000,SMAJ18A (VA transient clamp),D_SMA
FB100,61.866025,-16.500000,Top,90.000000,600R/3A,L_1206_3216Metric
J1,113.500000,-1.600000,Top,-90.000000,IN 6.35mm PJ-603A,PJ-603A
J2,28.000000,-1.600000,Top,-90.000000,OUT 6.35mm PJ-603A,PJ-603A
J3,1.600000,-40.000000,Top,0.000000,CV1 IN 3.5mm PJ-3410,PJ-3410
J4,1.600000,-75.000000,Top,0.000000,CV2 IN 3.5mm PJ-3410,PJ-3410
J5,69.000000,-2.600000,Top,180.000000,DC_2.1mm,DC-044A
J6,136.400000,-57.000000,Top,180.000000,CV OUT 3.5mm PJ-3410,PJ-3410
J10,96.000000,-104.000000,Top,90.000000,CTRL 2x8,PinHeader_2x08_P2.54mm_Vertical
L100,99.000000,-30.000000,Top,0.000000,22uH/3A SMDRI127,L_12x12mm_H8mm
Q1,120.000000,-86.000000,Top,0.000000,MMBTA13,SOT-23
Q2,103.554349,-90.513513,Top,0.000000,MMBT3904,SOT-23
Q3,104.442948,-81.430905,Top,0.000000,MMBT3904,SOT-23
Q4,73.181252,-94.720357,Top,0.000000,MMBT3904,SOT-23
Q5,70.041815,-77.420634,Top,0.000000,MMBT3904,SOT-23
Q6,75.856276,-77.208576,Top,0.000000,MMBT3904,SOT-23
Q10,55.000000,-12.000000,Top,90.000000,AO3401A,SOT-23
Q11,64.000000,-34.000000,Top,0.000000,BCP56,SOT-223-3_TabPin2
QJ1,26.008118,-73.053030,Top,0.000000,MMBFJ201,SOT-23
R1,122.399999,-21.800000,Top,0.000000,1k,R_0603_1608Metric
R2,124.099999,-31.900000,Top,0.000000,2.2M,R_0603_1608Metric
R3,127.267220,-37.767802,Top,0.000000,2.2M,R_0603_1608Metric
R4,112.346600,-34.487662,Top,0.000000,470k,R_0603_1608Metric
R5,105.678775,-37.647344,Top,0.000000,2.2k,R_0603_1608Metric
R12,56.003666,-54.367147,Top,0.000000,100k,R_0603_1608Metric
R13,16.584975,-40.374284,Top,0.000000,470R,R_0603_1608Metric
R16,92.041080,-2.841367,Top,0.000000,100k,R_0603_1608Metric
R20,115.911679,-50.261491,Top,0.000000,43k,R_0603_1608Metric
R21,127.029828,-49.158568,Top,0.000000,36k,R_0603_1608Metric
R22,110.757373,-52.767598,Top,0.000000,100k,R_0603_1608Metric
R23,111.877262,-38.486911,Top,0.000000,15k,R_0603_1608Metric
R24,119.434314,-54.767647,Top,0.000000,47k,R_0603_1608Metric
R25,124.382556,-54.002722,Top,0.000000,10k,R_0603_1608Metric
R30,111.226177,-57.725460,Top,0.000000,220k,R_0603_1608Metric
R31,107.481717,-63.731359,Top,0.000000,680,R_0603_1608Metric
R32,104.433685,-60.102661,Top,0.000000,680,R_0603_1608Metric
R33,77.340685,-61.456637,Top,0.000000,10k,R_0603_1608Metric
R34,105.529214,-56.204198,Top,0.000000,330k,R_0603_1608Metric
R35,116.327639,-91.023543,Top,0.000000,10k,R_0603_1608Metric
R36,105.240249,-52.233657,Top,0.000000,4.7k,R_0603_1608Metric
R37,95.062613,-39.405863,Top,0.000000,1M,R_0603_1608Metric
R38,89.730519,-64.602150,Top,0.000000,100k,R_0603_1608Metric
R40,97.656040,-4.888138,Top,0.000000,0R,R_0603_1608Metric
R41,107.986942,-33.258651,Top,0.000000,100k,R_0603_1608Metric
